case_id,dimension,setting,evidence_class,policy,episodes,mean_cost_bps,median_cost_bps,p95_cost_bps,cvar95_cost_bps,completion_rate,invalid_action_rate
volatility_high,volatility,high,synthetic_engineering,ppo_seed_427,24,4.3938925590119675,2.9046879428953414,18.929251979553868,23.008579008284606,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,immediate,24,4.397007408308794,4.3876028012820445,4.668566598237227,4.675752217754927,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,twap_like,24,3.2016621354078545,2.1333123835548387,21.215857775394124,23.68728811132791,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,liquidity_aware,24,0.8240333328799654,2.326577348042179,17.39438611700665,19.01872804288067,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,ppo_seed_27,24,8.640628152573614,6.762019228538135,42.329228529356804,50.5695866349233,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,ppo_seed_127,24,8.640628152573614,6.762019228538135,42.329228529356804,50.5695866349233,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,ppo_seed_227,24,8.642612079006208,7.62294385228383,40.8593431076735,46.929278491994694,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,ppo_seed_327,24,0.5470377210437354,2.34855867343465,18.041578119360665,18.658905927565083,1.0,0.0
volatility_shock,volatility,shock,synthetic_engineering,ppo_seed_427,24,8.468772837245831,6.868303814845719,42.544707738324,48.78252747235409,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,immediate,24,3.947007408308794,3.9376028012820443,4.218566598237228,4.225752217754927,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,twap_like,24,2.704130383102511,2.2861629939497154,6.913225034346608,7.550982661655325,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,liquidity_aware,24,1.2733429858218785,0.8305152297125578,5.840508871576375,7.435395037609412,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,ppo_seed_27,24,1.554450018846057,1.2789154069819033,6.752814039531213,7.930560844142998,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,ppo_seed_127,24,1.554450018846057,1.2789154069819033,6.752814039531213,7.930560844142998,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,ppo_seed_227,24,0.6756891156379329,0.22481264460647657,4.205981055989232,5.071053580004994,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,ppo_seed_327,24,2.813013646974254,3.1018188924761754,6.982978015697187,7.076123567834404,1.0,0.0
queue_optimistic,queue,optimistic_proxy,synthetic_engineering,ppo_seed_427,24,1.5415414512187449,1.5453052978004302,6.752814039531213,7.930560844142998,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,immediate,24,3.947007408308794,3.9376028012820443,4.218566598237228,4.225752217754927,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,twap_like,24,3.308676610273656,3.2018607573863833,7.954207775394133,8.45478811132791,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,liquidity_aware,24,4.642444749801648,4.0109408456872675,11.15854208995403,14.434956600682781,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,ppo_seed_27,24,4.677798650775226,3.7826368808442883,13.453575768959036,16.095086634923298,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,ppo_seed_127,24,4.677798650775226,3.7826368808442883,13.453575768959036,16.095086634923298,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,ppo_seed_227,24,3.6780661833960586,2.817913219206131,11.751234309429023,13.975753902930808,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,ppo_seed_327,24,3.0029661608420497,3.1545582965165635,7.039280955064713,7.17207159884348,1.0,0.0
queue_pessimistic,queue,pessimistic_proxy,synthetic_engineering,ppo_seed_427,24,4.559144238380655,3.734643359521497,13.333686067398649,15.458527472354088,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,immediate,24,3.947007408308794,3.9376028012820443,4.218566598237228,4.225752217754927,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,twap_like,24,3.1321780437025133,3.0910916153706474,6.91072236882547,7.56181513448678,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,liquidity_aware,24,2.820378735106383,1.6922006803565426,9.048707655263634,9.422503548305382,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,ppo_seed_27,24,3.2667618824730056,2.7553582791659794,10.600958295420437,13.538590593003539,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,ppo_seed_127,24,3.2667618824730056,2.7553582791659794,10.600958295420437,13.538590593003539,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,ppo_seed_227,24,2.2458912049398214,1.5040739361129805,7.850137006166547,11.22900981930421,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,ppo_seed_327,24,2.966453810261626,3.137845568649015,7.039280955064713,7.155702462555226,1.0,0.0
queue_cancellation_perturb,queue,cancellation_allocation_proxy,synthetic_engineering,ppo_seed_427,24,3.1094379948305453,2.2772643953101808,10.515351979553866,13.043079008284607,1.0,0.0
fees_zero,fees_rebates,zero,synthetic_engineering,immediate,24,3.697007408308794,3.6876028012820443,3.968566598237228,3.975752217754927,1.0,0.0
fees_zero,fees_rebates,zero,synthetic_engineering,twap_like,24,2.907102619766261,2.8515916153706478,6.707290238160082,7.31931513448678,1.0,0.0
fees_zero,fees_rebates,zero,synthetic_engineering,liquidity_aware,24,2.176171194258087,1.2231291089382483,7.944488790422607,8.91483265618799,1.0,0.0
fees_zero,fees_rebates,zero,synthetic_engineering,ppo_seed_27,24,2.626295003258124,2.199496163049715,10.506683503954678,11.306155579196211,1.0,0.0
fees_zero,fees_rebates,zero,synthetic_engineering,ppo_seed_127,24,2.626295003258124,2.199496163049715,10.506683503954678,11.306155579196211,1.0,0.0
fees_zero,fees_rebates,zero,synthetic_engineering,ppo_seed_227,24,1.4899005964826924,0.7611677452702015,7.567451214931367,9.212141759763654,1.0,0.0
